classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.501142857, 0.004562140, 0.001350164, 0
Lin. SVM, 50, 0.506857143, 0.001959324, 0.001597881, 0
SVM, 50, 0.514285714, 0.003119946, 0.063294888, 0
kNN, 50, 0.495428571, 0.000614882, 0.073535919, 0
RF, 50, 0.504000000, 0.159842014, 0.024983644, 0
MLP, 50, 0.512571429, 0.095055819, 0.009183884, 0
S-RerF, 50, 0.506857143, 0.029275894, 0.027377844, 0
MT-MORF, 50, 0.520571429, 0.026951790, 0.031091928, 0
Log. Reg, 100, 0.513142857, 0.007765055, 0.001304150, 0
Lin. SVM, 100, 0.506285714, 0.004852057, 0.001204014, 0
SVM, 100, 0.510857143, 0.008388042, 0.123360872, 0
kNN, 100, 0.484571429, 0.001801014, 0.089900970, 0
RF, 100, 0.513714286, 0.148153782, 0.021569014, 0
MLP, 100, 0.501714286, 0.160388231, 0.007647991, 0
S-RerF, 100, 0.517714286, 0.091243982, 0.076246738, 0
MT-MORF, 100, 0.518857143, 0.097172976, 0.052214861, 0
Log. Reg, 200, 0.514857143, 0.021369696, 0.001223803, 0
Lin. SVM, 200, 0.516571429, 0.018336773, 0.001722097, 0
SVM, 200, 0.524000000, 0.031610250, 0.268620014, 0
kNN, 200, 0.508000000, 0.001590014, 0.125044107, 0
RF, 200, 0.503428571, 0.181351900, 0.026872158, 0
MLP, 200, 0.497142857, 0.391274929, 0.006443977, 0
S-RerF, 200, 0.483428571, 0.269409895, 0.088589668, 0
MT-MORF, 200, 0.511428571, 0.245822906, 0.153242111, 0
Log. Reg, 400, 0.514857143, 0.087467909, 0.001497984, 0
Lin. SVM, 400, 0.512571429, 0.085780144, 0.001353025, 0
SVM, 400, 0.521142857, 0.125190020, 0.480852842, 0
kNN, 400, 0.493714286, 0.005649090, 0.175051928, 0
RF, 400, 0.524000000, 0.212735891, 0.026685953, 0
MLP, 400, 0.504571429, 0.594110012, 0.004764318, 0
S-RerF, 400, 0.474285714, 0.533471823, 0.047077894, 0
MT-MORF, 400, 0.490857143, 0.587166071, 0.055553198, 0
Log. Reg, 1000, 0.484000000, 0.287887812, 0.001078129, 0
Lin. SVM, 1000, 0.492000000, 0.887237072, 0.001079798, 0
SVM, 1000, 0.501142857, 0.738041162, 1.215312004, 0
kNN, 1000, 0.489142857, 0.016668797, 0.457807064, 0
RF, 1000, 0.509714286, 0.415301085, 0.029985189, 0
MLP, 1000, 0.489714286, 1.515509129, 0.006875277, 0
S-RerF, 1000, 0.478285714, 1.826946974, 0.062155008, 0
MT-MORF, 1000, 0.481142857, 2.393358707, 0.130245924, 0
