classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.509714286, 0.004039049, 0.001835108, 0
Log. Reg, 50, 0.521142857, 0.004387140, 0.001665115, 1
Log. Reg, 50, 0.534857143, 0.004503965, 0.001489878, 2
Log. Reg, 50, 0.519428571, 0.004408121, 0.001477718, 3
Log. Reg, 50, 0.533714286, 0.005116701, 0.001395941, 4
Log. Reg, 50, 0.510857143, 0.004555941, 0.001751900, 5
Log. Reg, 50, 0.505142857, 0.007532835, 0.001693249, 6
Log. Reg, 50, 0.530285714, 0.007819891, 0.004079103, 7
Log. Reg, 50, 0.512000000, 0.006070137, 0.001696110, 8
Log. Reg, 50, 0.507428571, 0.005828857, 0.002872944, 9
Lin. SVM, 50, 0.496571429, 0.002810955, 0.001801014, 0
Lin. SVM, 50, 0.526857143, 0.003886223, 0.002578020, 1
Lin. SVM, 50, 0.513714286, 0.002573967, 0.001991034, 2
Lin. SVM, 50, 0.522285714, 0.003126621, 0.001880169, 3
Lin. SVM, 50, 0.517142857, 0.003081083, 0.001958847, 4
Lin. SVM, 50, 0.505714286, 0.002764940, 0.001586199, 5
Lin. SVM, 50, 0.498857143, 0.003158808, 0.001548052, 6
Lin. SVM, 50, 0.519428571, 0.003559828, 0.002162933, 7
Lin. SVM, 50, 0.530285714, 0.002634048, 0.001582861, 8
Lin. SVM, 50, 0.495428571, 0.003373861, 0.001882792, 9
SVM, 50, 0.514857143, 0.003925800, 0.072428942, 0
SVM, 50, 0.514857143, 0.003715754, 0.077351093, 1
SVM, 50, 0.514857143, 0.003986835, 0.076429129, 2
SVM, 50, 0.514857143, 0.003691912, 0.074419022, 3
SVM, 50, 0.514857143, 0.004024982, 0.074452877, 4
SVM, 50, 0.514857143, 0.003782272, 0.100293159, 5
SVM, 50, 0.514857143, 0.003823996, 0.074003220, 6
SVM, 50, 0.514857143, 0.003884077, 0.076316833, 7
SVM, 50, 0.514857143, 0.004730940, 0.076706886, 8
SVM, 50, 0.515428571, 0.004677057, 0.081464052, 9
kNN, 50, 0.488000000, 0.001471996, 0.103262901, 0
kNN, 50, 0.410285714, 0.001986027, 0.101665735, 1
kNN, 50, 0.510857143, 0.004775286, 0.099670887, 2
kNN, 50, 0.486285714, 0.002249956, 0.110299826, 3
kNN, 50, 0.506285714, 0.002470970, 0.106570959, 4
kNN, 50, 0.478285714, 0.001971960, 0.096894264, 5
kNN, 50, 0.444000000, 0.002076864, 0.102545977, 6
kNN, 50, 0.432571429, 0.002102137, 0.103033066, 7
kNN, 50, 0.466857143, 0.002008915, 0.101392746, 8
kNN, 50, 0.493142857, 0.002006054, 0.096530914, 9
RF, 50, 0.507428571, 0.232007980, 0.039972067, 0
RF, 50, 0.510285714, 0.263717890, 0.039804935, 1
RF, 50, 0.513714286, 0.236518860, 0.039346933, 2
RF, 50, 0.512571429, 0.227741957, 0.038333893, 3
RF, 50, 0.518857143, 0.241146088, 0.044766903, 4
RF, 50, 0.508000000, 0.239294052, 0.040622950, 5
RF, 50, 0.520000000, 0.236590147, 0.042406082, 6
RF, 50, 0.515428571, 0.248589993, 0.037844896, 7
RF, 50, 0.513142857, 0.240585804, 0.038991928, 8
RF, 50, 0.517142857, 0.260806322, 0.040374994, 9
MLP, 50, 0.503428571, 0.254714012, 0.018758059, 0
MLP, 50, 0.534285714, 0.314746141, 0.014075994, 1
MLP, 50, 0.493714286, 0.324332237, 0.014966011, 2
MLP, 50, 0.490857143, 0.308258057, 0.017537117, 3
MLP, 50, 0.500571429, 0.249771118, 0.015518904, 4
MLP, 50, 0.503428571, 0.336275816, 0.021047831, 5
MLP, 50, 0.484000000, 0.299791098, 0.014799118, 6
MLP, 50, 0.509142857, 0.351774931, 0.017316818, 7
MLP, 50, 0.477714286, 0.711946011, 0.022627831, 8
MLP, 50, 0.502285714, 0.402725220, 0.015010118, 9
S-RerF, 50, 0.502285714, 0.043160915, 0.499047041, 0
S-RerF, 50, 0.528571429, 0.044943094, 0.347447872, 1
S-RerF, 50, 0.511428571, 0.045418024, 0.457731009, 2
S-RerF, 50, 0.526857143, 0.045892239, 0.496549129, 3
