classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.508000000, 0.003999949, 0.000920057, 0
Log. Reg, 50, 0.471000000, 0.003250837, 0.000880241, 1
Log. Reg, 50, 0.498000000, 0.003351212, 0.000948906, 2
Log. Reg, 50, 0.487000000, 0.003317118, 0.000876665, 3
Log. Reg, 50, 0.488000000, 0.003998041, 0.001271963, 4
Log. Reg, 50, 0.495000000, 0.002624035, 0.000706196, 5
Log. Reg, 50, 0.480000000, 0.002678156, 0.000893116, 6
Log. Reg, 50, 0.492000000, 0.002937078, 0.000765085, 7
Log. Reg, 50, 0.488000000, 0.004499912, 0.001353025, 8
Log. Reg, 50, 0.489000000, 0.004732847, 0.002332926, 9
Lin. SVM, 50, 0.476000000, 0.018270016, 0.000727892, 0
Lin. SVM, 50, 0.507000000, 0.019222021, 0.000894070, 1
Lin. SVM, 50, 0.498000000, 0.017851830, 0.001333952, 2
Lin. SVM, 50, 0.499000000, 0.016978025, 0.000815868, 3
Lin. SVM, 50, 0.504000000, 0.018625021, 0.000760078, 4
Lin. SVM, 50, 0.472000000, 0.019657850, 0.001153946, 5
Lin. SVM, 50, 0.503000000, 0.015836000, 0.000696898, 6
Lin. SVM, 50, 0.492000000, 0.020945072, 0.000821114, 7
Lin. SVM, 50, 0.505000000, 0.018489122, 0.000808954, 8
Lin. SVM, 50, 0.502000000, 0.023896933, 0.000877142, 9
SVM, 50, 0.493000000, 0.004127264, 0.048346043, 0
SVM, 50, 0.493000000, 0.003600836, 0.039710999, 1
SVM, 50, 0.493000000, 0.002815008, 0.036279917, 2
SVM, 50, 0.493000000, 0.003150225, 0.036137104, 3
SVM, 50, 0.493000000, 0.002499104, 0.035328865, 4
SVM, 50, 0.493000000, 0.002524853, 0.035563231, 5
SVM, 50, 0.493000000, 0.002778053, 0.036714792, 6
SVM, 50, 0.493000000, 0.002489090, 0.035098076, 7
SVM, 50, 0.493000000, 0.002941847, 0.040036917, 8
SVM, 50, 0.493000000, 0.004284859, 0.048622131, 9
kNN, 50, 0.464000000, 0.001061201, 0.063292027, 0
kNN, 50, 0.469000000, 0.001464128, 0.056982994, 1
kNN, 50, 0.460000000, 0.000891209, 0.041915894, 2
kNN, 50, 0.463000000, 0.001154900, 0.045538664, 3
kNN, 50, 0.462000000, 0.001016855, 0.041703939, 4
kNN, 50, 0.459000000, 0.000929117, 0.047296047, 5
kNN, 50, 0.468000000, 0.000963211, 0.038095951, 6
kNN, 50, 0.459000000, 0.000987053, 0.050461769, 7
kNN, 50, 0.470000000, 0.000965118, 0.046655893, 8
kNN, 50, 0.453000000, 0.001080036, 0.054841042, 9
RF, 50, 0.490000000, 0.202390909, 0.027850866, 0
RF, 50, 0.484000000, 0.166283131, 0.022961140, 1
RF, 50, 0.480000000, 0.148895979, 0.020083904, 2
RF, 50, 0.500000000, 0.149712086, 0.020133018, 3
RF, 50, 0.483000000, 0.166645050, 0.027890205, 4
RF, 50, 0.498000000, 0.170091867, 0.025029182, 5
RF, 50, 0.480000000, 0.162405968, 0.021757841, 6
RF, 50, 0.496000000, 0.157220125, 0.023162127, 7
RF, 50, 0.478000000, 0.123362780, 0.017390251, 8
RF, 50, 0.494000000, 0.202718973, 0.042842150, 9
MLP, 50, 0.495000000, 0.393723965, 0.005007744, 0
MLP, 50, 0.503000000, 0.480108023, 0.003348827, 1
MLP, 50, 0.501000000, 0.332736015, 0.003891945, 2
MLP, 50, 0.486000000, 0.254705906, 0.002480268, 3
MLP, 50, 0.494000000, 0.300349951, 0.002696991, 4
MLP, 50, 0.487000000, 0.438920975, 0.002651930, 5
MLP, 50, 0.486000000, 0.467840910, 0.003386021, 6
