classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.501714286, 0.008953094, 0.009823561, 0
Log. Reg, 50, 0.504000000, 0.002660275, 0.008599281, 1
Log. Reg, 50, 0.486285714, 0.002626657, 0.008471012, 2
Log. Reg, 50, 0.512571429, 0.002909899, 0.008664131, 3
Log. Reg, 50, 0.519428571, 0.003126144, 0.002897739, 4
Log. Reg, 50, 0.505714286, 0.003298998, 0.001358986, 5
Log. Reg, 50, 0.524571429, 0.003429174, 0.001439571, 6
Log. Reg, 50, 0.512571429, 0.003436327, 0.001444817, 7
Log. Reg, 50, 0.520571429, 0.003005028, 0.001313448, 8
Log. Reg, 50, 0.516571429, 0.002918482, 0.001388073, 9
Lin. SVM, 50, 0.505142857, 0.002915144, 0.001317024, 0
Lin. SVM, 50, 0.515428571, 0.002944946, 0.001330853, 1
Lin. SVM, 50, 0.522857143, 0.004925489, 0.001586676, 2
Lin. SVM, 50, 0.514285714, 0.005075932, 0.001480103, 3
Lin. SVM, 50, 0.485142857, 0.002959013, 0.001328468, 4
Lin. SVM, 50, 0.514285714, 0.002811193, 0.001352787, 5
Lin. SVM, 50, 0.518857143, 0.005604982, 0.001414776, 6
Lin. SVM, 50, 0.514285714, 0.005823612, 0.002335787, 7
Lin. SVM, 50, 0.509714286, 0.003056526, 0.001395464, 8
Lin. SVM, 50, 0.500000000, 0.002911568, 0.001372337, 9
SVM, 50, 0.514857143, 0.007678986, 0.044811964, 0
SVM, 50, 0.514857143, 0.002365828, 0.042700291, 1
SVM, 50, 0.514857143, 0.002402306, 0.045544386, 2
SVM, 50, 0.514857143, 0.002463102, 0.043333054, 3
SVM, 50, 0.514857143, 0.002427816, 0.043287277, 4
SVM, 50, 0.514857143, 0.002321005, 0.042871952, 5
SVM, 50, 0.514857143, 0.002363443, 0.042424440, 6
SVM, 50, 0.514857143, 0.002339363, 0.043227434, 7
SVM, 50, 0.514857143, 0.002306223, 0.042633772, 8
SVM, 50, 0.514857143, 0.002294302, 0.042626858, 9
kNN, 50, 0.448000000, 0.006480455, 0.091185808, 0
kNN, 50, 0.481714286, 0.000710249, 0.069147587, 1
kNN, 50, 0.436571429, 0.000904560, 0.086238146, 2
kNN, 50, 0.429714286, 0.000844479, 0.085761786, 3
kNN, 50, 0.460571429, 0.001134872, 0.092151642, 4
kNN, 50, 0.477142857, 0.000894547, 0.072611332, 5
kNN, 50, 0.484571429, 0.001199722, 0.083714247, 6
kNN, 50, 0.439428571, 0.000699043, 0.086737871, 7
kNN, 50, 0.442285714, 0.000697136, 0.086161613, 8
kNN, 50, 0.474857143, 0.000758410, 0.080525160, 9
RF, 50, 0.535428571, 0.202273130, 0.037372112, 0
RF, 50, 0.519428571, 0.224735022, 0.042020798, 1
RF, 50, 0.516571429, 0.218767166, 0.039925098, 2
RF, 50, 0.512571429, 0.199542999, 0.037563086, 3
RF, 50, 0.521142857, 0.193978310, 0.034915447, 4
RF, 50, 0.512571429, 0.190396070, 0.033329010, 5
RF, 50, 0.514857143, 0.189250469, 0.033396006, 6
RF, 50, 0.517142857, 0.195955515, 0.034091711, 7
RF, 50, 0.516000000, 0.191045523, 0.039207220, 8
RF, 50, 0.516000000, 0.198567152, 0.032321692, 9
MLP, 50, 0.496571429, 0.157977581, 0.007191896, 0
MLP, 50, 0.493714286, 0.211161137, 0.007378101, 1
MLP, 50, 0.502285714, 0.212773561, 0.007324219, 2
MLP, 50, 0.514857143, 0.225308180, 0.008741379, 3
MLP, 50, 0.522285714, 0.535099983, 0.010290146, 4
MLP, 50, 0.505714286, 0.217087269, 0.006576300, 5
MLP, 50, 0.501714286, 0.140111446, 0.006660223, 6
MLP, 50, 0.518285714, 0.150064945, 0.009839773, 7
MLP, 50, 0.514857143, 0.144643307, 0.006402969, 8
MLP, 50, 0.526285714, 0.140382528, 0.006481647, 9
