classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.504571429, 0.003233194, 0.001625776, 0
Log. Reg, 50, 0.516000000, 0.002686977, 0.001465082, 1
Log. Reg, 50, 0.514857143, 0.002821922, 0.001552105, 2
Log. Reg, 50, 0.516571429, 0.003588915, 0.001174688, 3
Log. Reg, 50, 0.527428571, 0.002570868, 0.001061201, 4
Log. Reg, 50, 0.510857143, 0.002692938, 0.001491070, 5
Log. Reg, 50, 0.511428571, 0.003502131, 0.001168966, 6
Log. Reg, 50, 0.527428571, 0.002614975, 0.001392126, 7
Log. Reg, 50, 0.525142857, 0.003217220, 0.001053333, 8
Log. Reg, 50, 0.532571429, 0.002602100, 0.001048088, 9
Lin. SVM, 50, 0.510857143, 0.003067970, 0.000985146, 0
Lin. SVM, 50, 0.535428571, 0.003542900, 0.001034737, 1
Lin. SVM, 50, 0.516000000, 0.003199100, 0.001398087, 2
Lin. SVM, 50, 0.507428571, 0.003502131, 0.021470785, 3
Lin. SVM, 50, 0.499428571, 0.003652096, 0.001385450, 4
Lin. SVM, 50, 0.510857143, 0.003493786, 0.001018047, 5
Lin. SVM, 50, 0.504000000, 0.003654003, 0.001368046, 6
Lin. SVM, 50, 0.531428571, 0.004992962, 0.001533270, 7
Lin. SVM, 50, 0.509714286, 0.004546165, 0.001387119, 8
Lin. SVM, 50, 0.516000000, 0.003064156, 0.001146793, 9
SVM, 50, 0.514857143, 0.003475904, 0.067927122, 0
SVM, 50, 0.514857143, 0.002874851, 0.060090065, 1
SVM, 50, 0.514857143, 0.002630949, 0.060253859, 2
SVM, 50, 0.514857143, 0.002579927, 0.057822943, 3
SVM, 50, 0.514857143, 0.002534866, 0.059463978, 4
SVM, 50, 0.514857143, 0.002634764, 0.058150291, 5
SVM, 50, 0.514857143, 0.002910137, 0.062083960, 6
SVM, 50, 0.514857143, 0.002679110, 0.060715914, 7
SVM, 50, 0.514857143, 0.002680063, 0.058284044, 8
SVM, 50, 0.514857143, 0.002709866, 0.059483051, 9
kNN, 50, 0.451428571, 0.000535011, 0.056534052, 0
kNN, 50, 0.440571429, 0.001254797, 0.058437109, 1
kNN, 50, 0.464000000, 0.001243830, 0.057123184, 2
kNN, 50, 0.470285714, 0.001219034, 0.056145906, 3
kNN, 50, 0.493142857, 0.001394272, 0.056666136, 4
kNN, 50, 0.469714286, 0.001353025, 0.053124905, 5
kNN, 50, 0.452571429, 0.001504898, 0.059281826, 6
kNN, 50, 0.441714286, 0.001188755, 0.055182219, 7
kNN, 50, 0.472000000, 0.001302004, 0.055235863, 8
kNN, 50, 0.454285714, 0.001243114, 0.067970037, 9
RF, 50, 0.519428571, 0.133244038, 0.023347855, 0
RF, 50, 0.522857143, 0.126003981, 0.023392677, 1
RF, 50, 0.509714286, 0.136349916, 0.023144007, 2
RF, 50, 0.505142857, 0.146507025, 0.028181076, 3
RF, 50, 0.513142857, 0.145428896, 0.023418188, 4
RF, 50, 0.521142857, 0.136551857, 0.023964882, 5
RF, 50, 0.514857143, 0.164109945, 0.025810957, 6
RF, 50, 0.508571429, 0.129133701, 0.023801088, 7
RF, 50, 0.516571429, 0.195703030, 0.052979946, 8
RF, 50, 0.513142857, 0.188923120, 0.037712336, 9
MLP, 50, 0.520571429, 0.210206985, 0.012813091, 0
MLP, 50, 0.522285714, 0.294445992, 0.020620108, 1
MLP, 50, 0.521142857, 0.114449024, 0.008793116, 2
MLP, 50, 0.516571429, 0.115782976, 0.009172916, 3
MLP, 50, 0.517714286, 0.112860918, 0.008890867, 4
MLP, 50, 0.521714286, 0.096503019, 0.008682966, 5
MLP, 50, 0.517714286, 0.112331867, 0.010354996, 6
MLP, 50, 0.514285714, 0.102986336, 0.009996176, 7
MLP, 50, 0.508571429, 0.099260092, 0.008888006, 8
MLP, 50, 0.513142857, 0.109252214, 0.008584976, 9
S-RerF, 50, 0.497714286, 0.024785995, 0.070290804, 0
S-RerF, 50, 0.502857143, 0.024010897, 0.044572830, 1
S-RerF, 50, 0.516000000, 0.024772882, 0.036392927, 2
S-RerF, 50, 0.532571429, 0.024381876, 0.107627153, 3
S-RerF, 50, 0.529714286, 0.027176142, 0.046010017, 4
S-RerF, 50, 0.497142857, 0.031562805, 0.041035175, 5
S-RerF, 50, 0.538857143, 0.025747061, 0.031821012, 6
S-RerF, 50, 0.502285714, 0.027073145, 0.072474003, 7
S-RerF, 50, 0.510285714, 0.026865959, 0.050114870, 8
S-RerF, 50, 0.518857143, 0.023205042, 0.033042908, 9
MT-MORF, 50, 0.509142857, 0.026072741, 0.080253839, 0
MT-MORF, 50, 0.494285714, 0.029556990, 0.016934872, 1
MT-MORF, 50, 0.513714286, 0.025371075, 0.025183916, 2
MT-MORF, 50, 0.482857143, 0.027102947, 0.035548925, 3
MT-MORF, 50, 0.513142857, 0.025828123, 0.031617165, 4
MT-MORF, 50, 0.508000000, 0.026078939, 0.031601906, 5
MT-MORF, 50, 0.506857143, 0.030900002, 0.112107038, 6
MT-MORF, 50, 0.499428571, 0.024662971, 0.078902006, 7
MT-MORF, 50, 0.518857143, 0.023273945, 0.045504093, 8
MT-MORF, 50, 0.498857143, 0.044388056, 0.102320910, 9
Log. Reg, 100, 0.512000000, 0.005604029, 0.001033068, 0
Log. Reg, 100, 0.503428571, 0.005822182, 0.002074003, 1
Log. Reg, 100, 0.518285714, 0.005240917, 0.001130104, 2
Log. Reg, 100, 0.495428571, 0.005029678, 0.001055002, 3
Log. Reg, 100, 0.490285714, 0.004760981, 0.001323223, 4
Log. Reg, 100, 0.528000000, 0.004731894, 0.001034021, 5
Log. Reg, 100, 0.490857143, 0.005681992, 0.001208067, 6
Log. Reg, 100, 0.509714286, 0.005777836, 0.018723011, 7
Log. Reg, 100, 0.526285714, 0.004817247, 0.001219988, 8
Log. Reg, 100, 0.527428571, 0.005553007, 0.001075983, 9
Lin. SVM, 100, 0.529714286, 0.008545160, 0.001170158, 0
Lin. SVM, 100, 0.533142857, 0.008332014, 0.001106024, 1
Lin. SVM, 100, 0.491428571, 0.008795261, 0.001069784, 2
Lin. SVM, 100, 0.513714286, 0.008463860, 0.001119137, 3
Lin. SVM, 100, 0.484571429, 0.008533001, 0.001245975, 4
Lin. SVM, 100, 0.507428571, 0.008870125, 0.001765013, 5
Lin. SVM, 100, 0.506285714, 0.010246277, 0.001164913, 6
Lin. SVM, 100, 0.505714286, 0.009426832, 0.001101732, 7
Lin. SVM, 100, 0.497714286, 0.008262873, 0.001092196, 8
Lin. SVM, 100, 0.491428571, 0.008588791, 0.001125097, 9
SVM, 100, 0.514857143, 0.008016825, 0.117816925, 0
SVM, 100, 0.514857143, 0.007801294, 0.118510723, 1
SVM, 100, 0.514857143, 0.008419037, 0.118005037, 2
SVM, 100, 0.514857143, 0.009284973, 0.133044958, 3
SVM, 100, 0.514857143, 0.008429050, 0.123217821, 4
SVM, 100, 0.514857143, 0.008703947, 0.122169971, 5
SVM, 100, 0.514857143, 0.007917881, 0.118970156, 6
SVM, 100, 0.514857143, 0.009047985, 0.131861925, 7
SVM, 100, 0.514857143, 0.007694006, 0.122955084, 8
SVM, 100, 0.514857143, 0.008486986, 0.118657112, 9
kNN, 100, 0.434857143, 0.001521826, 0.074810028, 0
kNN, 100, 0.441714286, 0.001435995, 0.081274271, 1
kNN, 100, 0.442857143, 0.002248764, 0.083539009, 2
kNN, 100, 0.421142857, 0.002027988, 0.094616175, 3
kNN, 100, 0.430285714, 0.001714945, 0.088016272, 4
kNN, 100, 0.405142857, 0.001613855, 0.075407028, 5
kNN, 100, 0.409714286, 0.002523899, 0.105743885, 6
kNN, 100, 0.442285714, 0.001539230, 0.077558756, 7
kNN, 100, 0.418857143, 0.001715899, 0.080713987, 8
kNN, 100, 0.430285714, 0.001631975, 0.080995798, 9
RF, 100, 0.509142857, 0.241950989, 0.038653851, 0
RF, 100, 0.504571429, 0.186293125, 0.042151928, 1
RF, 100, 0.495428571, 0.154525757, 0.027370930, 2
RF, 100, 0.491428571, 0.225179911, 0.046186924, 3
RF, 100, 0.498285714, 0.206930876, 0.033907175, 4
RF, 100, 0.503428571, 0.182909966, 0.040487051, 5
RF, 100, 0.488571429, 0.162501812, 0.035924911, 6
RF, 100, 0.497142857, 0.180964947, 0.047012091, 7
RF, 100, 0.512000000, 0.149587870, 0.025848866, 8
RF, 100, 0.533142857, 0.192871332, 0.045585155, 9
MLP, 100, 0.509714286, 0.211865187, 0.007528067, 0
MLP, 100, 0.495428571, 0.201624155, 0.007802010, 1
MLP, 100, 0.497714286, 0.193725824, 0.008911133, 2
MLP, 100, 0.480571429, 0.203179121, 0.007994890, 3
MLP, 100, 0.491428571, 0.579040051, 0.008589983, 4
MLP, 100, 0.508000000, 0.375845194, 0.012800932, 5
MLP, 100, 0.485714286, 0.426419973, 0.016686201, 6
MLP, 100, 0.492571429, 0.290635824, 0.011412144, 7
MLP, 100, 0.514285714, 0.201826096, 0.007378101, 8
MLP, 100, 0.485142857, 0.331487894, 0.010470867, 9
S-RerF, 100, 0.474857143, 0.071148872, 0.072370052, 0
S-RerF, 100, 0.473714286, 0.108325720, 0.090336084, 1
S-RerF, 100, 0.478285714, 0.090022087, 0.173988104, 2
S-RerF, 100, 0.508571429, 0.070178032, 0.032130718, 3
S-RerF, 100, 0.468000000, 0.072603226, 0.018095732, 4
S-RerF, 100, 0.482285714, 0.077196121, 0.022683144, 5
S-RerF, 100, 0.474857143, 0.073071241, 0.073137999, 6
S-RerF, 100, 0.482857143, 0.076370955, 0.029459000, 7
S-RerF, 100, 0.504571429, 0.065771103, 0.014857769, 8
S-RerF, 100, 0.490285714, 0.075747013, 0.024277925, 9
MT-MORF, 100, 0.427428571, 0.085465908, 0.030715227, 0
MT-MORF, 100, 0.462285714, 0.080649137, 0.017317295, 1
MT-MORF, 100, 0.453714286, 0.078916788, 0.020337105, 2
MT-MORF, 100, 0.456000000, 0.074559927, 0.020771265, 3
MT-MORF, 100, 0.467428571, 0.079044104, 0.027688265, 4
MT-MORF, 100, 0.447428571, 0.102521896, 0.072925806, 5
MT-MORF, 100, 0.459428571, 0.081050158, 0.073310852, 6
MT-MORF, 100, 0.442857143, 0.092303753, 0.078351736, 7
MT-MORF, 100, 0.439428571, 0.084995747, 0.020539284, 8
MT-MORF, 100, 0.454285714, 0.071660995, 0.017040014, 9
Log. Reg, 200, 0.517142857, 0.016425133, 0.001162052, 0
