classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 3.0, 0.508000000, 0.063261032, 0.000711918, 0
Lin. SVM, 3.0, 0.504000000, 0.309829950, 0.000543118, 0
SVM, 3.0, 0.518000000, 0.209764957, 0.182004929, 0
kNN, 3.0, 0.510000000, 0.008302689, 0.248927832, 0
RF, 3.0, 0.512000000, 0.390846014, 0.012813091, 0
MLP, 3.0, 0.520000000, 1.155843258, 0.001609802, 0
S-RerF, 3.0, 0.514000000, 2.331817865, 0.020437956, 0
MT-MORF, 3.0, 0.488000000, 2.284376144, 0.018919945, 0
Log. Reg, 36.0, 0.524000000, 0.191727161, 0.002355814, 0
Lin. SVM, 36.0, 0.508000000, 0.296115875, 0.001854897, 0
SVM, 36.0, 0.520000000, 1.229248762, 1.290046930, 0
kNN, 36.0, 0.522000000, 0.050837994, 1.791061878, 0
RF, 36.0, 0.522000000, 0.933596849, 0.023453951, 0
MLP, 36.0, 0.478000000, 36.105073929, 0.006020069, 0
S-RerF, 36.0, 0.494000000, 5.569851160, 0.021444082, 0
MT-MORF, 36.0, 0.486000000, 5.440624237, 0.019333839, 0
Log. Reg, 69.0, 0.498000000, 0.264014721, 0.004037142, 0
Lin. SVM, 69.0, 0.498000000, 0.406666040, 0.003269911, 0
SVM, 69.0, 0.520000000, 2.216543198, 2.106886148, 0
kNN, 69.0, 0.524000000, 0.081001997, 3.190591097, 0
RF, 69.0, 0.518000000, 1.060198307, 0.023832798, 0
MLP, 69.0, 0.496000000, 21.062148094, 0.013081789, 0
S-RerF, 69.0, 0.494000000, 6.936007977, 0.020560980, 0
MT-MORF, 69.0, 0.522000000, 6.865180016, 0.019573927, 0
Log. Reg, 102.0, 0.498000000, 0.371955872, 0.005697727, 0
Lin. SVM, 102.0, 0.492000000, 0.569062948, 0.004692793, 0
SVM, 102.0, 0.520000000, 3.166307211, 3.262596846, 0
kNN, 102.0, 0.498000000, 0.148574352, 4.641517162, 0
RF, 102.0, 0.522000000, 1.427589893, 0.029181004, 0
MLP, 102.0, 0.492000000, 40.365336180, 0.015929222, 0
S-RerF, 102.0, 0.498000000, 8.055914164, 0.020798206, 0
MT-MORF, 102.0, 0.492000000, 8.093893051, 0.020777941, 0
Log. Reg, 135.0, 0.524000000, 0.526244164, 0.007894754, 0
Lin. SVM, 135.0, 0.524000000, 0.646563053, 0.006340027, 0
SVM, 135.0, 0.520000000, 4.337265253, 4.373202085, 0
kNN, 135.0, 0.528000000, 0.157960892, 6.063597202, 0
RF, 135.0, 0.502000000, 1.484751940, 0.027915955, 0
MLP, 135.0, 0.522000000, 48.563659906, 0.018097878, 0
S-RerF, 135.0, 0.442000000, 9.542800903, 0.022647142, 0
MT-MORF, 135.0, 0.476000000, 9.512100697, 0.024885893, 0
Log. Reg, 168.0, 0.534000000, 0.590922117, 0.012220144, 0
Lin. SVM, 168.0, 0.534000000, 0.789791107, 0.007341862, 0
SVM, 168.0, 0.520000000, 5.369636774, 5.407416105, 0
kNN, 168.0, 0.382000000, 0.249627113, 7.521497965, 0
RF, 168.0, 0.468000000, 1.871177912, 0.038570881, 0
MLP, 168.0, 0.480000000, 3.077651978, 0.031095028, 0
S-RerF, 168.0, 0.542000000, 9.937095881, 0.024821043, 0
MT-MORF, 168.0, 0.490000000, 10.306504965, 0.024054050, 0
Log. Reg, 201.0, 0.510000000, 0.816178083, 0.014131784, 0
Lin. SVM, 201.0, 0.510000000, 0.981591940, 0.008862257, 0
SVM, 201.0, 0.520000000, 6.437195778, 6.262340307, 0
kNN, 201.0, 0.424000000, 0.252227783, 9.124612093, 0
RF, 201.0, 0.510000000, 2.140813112, 0.041126966, 0
MLP, 201.0, 0.500000000, 36.826080084, 0.028909206, 0
S-RerF, 201.0, 0.502000000, 10.924779892, 0.024987698, 0
MT-MORF, 201.0, 0.510000000, 11.555827141, 0.026638985, 0
Log. Reg, 234.0, 0.492000000, 0.881464005, 0.016004086, 0
Lin. SVM, 234.0, 0.490000000, 1.062950850, 0.010483027, 0
SVM, 234.0, 0.520000000, 7.616697073, 8.300628901, 0
kNN, 234.0, 0.506000000, 0.354655027, 10.774374008, 0
RF, 234.0, 0.474000000, 2.282969713, 0.046103001, 0
MLP, 234.0, 0.520000000, 4.693416834, 0.037745953, 0
S-RerF, 234.0, 0.486000000, 12.168303251, 0.026989937, 0
MT-MORF, 234.0, 0.492000000, 11.947840929, 0.028516054, 0
Log. Reg, 267.0, 0.494000000, 0.712129116, 0.019305944, 0
Lin. SVM, 267.0, 0.500000000, 1.150645733, 0.011724949, 0
SVM, 267.0, 0.520000000, 8.589792013, 8.810255051, 0
kNN, 267.0, 0.516000000, 0.350613117, 12.078633070, 0
RF, 267.0, 0.496000000, 2.307115078, 0.043356895, 0
MLP, 267.0, 0.488000000, 90.437969923, 0.041189909, 0
S-RerF, 267.0, 0.488000000, 13.583783865, 0.029379845, 0
MT-MORF, 267.0, 0.496000000, 13.146646023, 0.031040192, 0
Log. Reg, 300.0, 0.506000000, 1.146049023, 0.026217937, 0
Lin. SVM, 300.0, 0.514000000, 1.392446041, 0.012624264, 0
SVM, 300.0, 0.520000000, 9.961619854, 9.602116823, 0
kNN, 300.0, 0.390000000, 0.446165085, 12.809893131, 0
RF, 300.0, 0.460000000, 2.478306055, 0.051231861, 0
MLP, 300.0, 0.494000000, 75.471498966, 0.045040131, 0
S-RerF, 300.0, 0.470000000, 13.999969959, 0.035296917, 0
MT-MORF, 300.0, 0.478000000, 14.012519836, 0.031603813, 0
